	train	val
0	0.0	6.8282246589660645
1	1.259206426665955	0.577487587928772
2	0.2994960844516754	0.5779749751091003
3	0.5537182696394085	0.5070850849151611
4	0.2694195806980133	0.5155260562896729
5	0.505645428505755	0.48264235258102417
6	0.25055012106895447	0.48290079832077026
7	0.4714659447061647	0.455314040184021
8	0.22489763796329498	0.4605194926261902
9	0.4593823934645997	0.4528820812702179
10	0.2223941683769226	0.4557991027832031
11	0.4557490703678623	0.4565735161304474
12	0.2330397665500641	0.456884503364563
13	0.45340270641231045	0.45306673645973206
14	0.23169966042041779	0.4532131254673004
15	0.4513509261239435	0.4506647288799286
16	0.217671200633049	0.4523106813430786
17	0.4502571762068984	0.44739922881126404
18	0.2272559255361557	0.4497387707233429
19	0.4492734726710418	0.4484049081802368
20	0.22769945859909058	0.4503211975097656
21	0.4486675527446049	0.4489976167678833
22	0.2133934497833252	0.4503606855869293
23	0.448468600428596	0.44831621646881104
24	0.2271031141281128	0.44915640354156494
25	0.4478109572658834	0.4483206868171692
26	0.2241758555173874	0.45027339458465576
27	0.44709508313038915	0.44731590151786804
28	0.23186305165290833	0.45009109377861023
29	0.4464952719119406	0.4462472200393677
30	0.22934773564338684	0.4479779005050659
31	0.44571985143054393	0.4475466012954712
32	0.22621333599090576	0.4474356472492218
33	0.44527478201180387	0.4453617036342621
34	0.2294112890958786	0.44504910707473755
35	0.4448181452210416	0.4456946551799774
36	0.22517189383506775	0.4474518895149231
37	0.4444113261613649	0.44639119505882263
38	0.22355349361896515	0.44740554690361023
39	0.4441768190602666	0.4451337158679962
40	0.21597355604171753	0.44861868023872375
41	0.44384788660351765	0.4455927908420563
42	0.21643996238708496	0.44691741466522217
43	0.44363177529315356	0.447759747505188
44	0.21227793395519257	0.44549399614334106
45	0.4434383952433301	0.4456200897693634
46	0.2382490187883377	0.44638413190841675
47	0.44312182975184056	0.4483015239238739
48	0.22100456058979034	0.444983571767807
49	0.4428267461276546	0.44657403230667114
50	0.21124045550823212	0.44827643036842346
51	0.44269736211017235	0.4454158842563629
52	0.22946448624134064	0.44554051756858826
53	0.44258631404834925	0.4457479417324066
54	0.21295566856861115	0.4475298225879669
55	0.4423473928238928	0.44679906964302063
56	0.22823938727378845	0.4466080963611603
57	0.44224437764010477	0.44554293155670166
58	0.21531331539154053	0.4438861012458801
59	0.4419737826149488	0.444888710975647
60	0.22760386765003204	0.44598692655563354
61	0.44167510473851074	0.44629594683647156
62	0.21135902404785156	0.4439171552658081
63	0.4416508573232238	0.44418394565582275
64	0.21165402233600616	0.4442336857318878
65	0.4414088272864057	0.4447524845600128
66	0.22131623327732086	0.44729864597320557
67	0.4413097428599584	0.4441341161727905
68	0.22512240707874298	0.4453994035720825
69	0.441351960998835	0.4444674253463745
70	0.2253204882144928	0.4469268023967743
71	0.4408519782663621	0.44469454884529114
72	0.22372619807720184	0.4455377459526062
73	0.44083243577750686	0.44491446018218994
74	0.22451727092266083	0.4444730579853058
75	0.44080218042909486	0.44399091601371765
76	0.23320437967777252	0.44618284702301025
77	0.4407583500460251	0.4461841583251953
78	0.21559210121631622	0.44541212916374207
79	0.44045980397573453	0.44485390186309814
80	0.2242569476366043	0.4455358684062958
81	0.4403823261562082	0.44489142298698425
82	0.2275577187538147	0.44404593110084534
83	0.44031334422605556	0.44582808017730713
84	0.2164607048034668	0.4446084797382355
85	0.44027230297167275	0.4451717138290405
86	0.22235752642154694	0.4452158808708191
87	0.44015834741678433	0.4443680942058563
88	0.22114574909210205	0.44474002718925476
89	0.43989806384155433	0.4435058832168579
90	0.22382113337516785	0.4433760941028595
91	0.43993029858648164	0.4448862075805664
92	0.244563028216362	0.44333532452583313
93	0.43979728636667903	0.4479931890964508
94	0.23380842804908752	0.4458777606487274
95	0.4396126082877523	0.44611918926239014
96	0.23051820695400238	0.44529974460601807
97	0.4396052759947236	0.44538944959640503
98	0.23215575516223907	0.4452727437019348
99	0.4394137795592092	0.4445452392101288
