epoch	avg_f1	avg_pr_auc
0	0.3400923713967193	0.3761031551573125
1	0.47345317725752506	0.5434505138304679
2	0.5783066571110049	0.6227242629246714
3	0.6436813186813187	0.6885678844811062
4	0.6886088549132028	0.7011569889640488
5	0.6265925740925741	0.6858705931808916
6	0.6285784264045133	0.6892421190046124
7	0.6473373848373848	0.6723724893152584
8	0.7351891536993839	0.7083960874795154
9	0.5934476710625322	0.6871298317073455
10	0.610380139184487	0.6876815366860513
11	0.7222091977987714	0.6801407295269313
12	0.6825662863706341	0.6623904499657811
13	0.6708872134110735	0.6868351414881478
14	0.7136829425192597	0.6577501825073281
15	0.6911877906123431	0.6417573972131149
16	0.6471802834846312	0.6835996562110591
17	0.6183626782603686	0.6396890711255826
18	0.7036829425192596	0.6497350328227491
19	0.6999447927971283	0.6646506553361982
20	0.6178987845689208	0.6322265282264178
21	0.6462293777773654	0.6514872740903476
22	0.6659761973522159	0.6435943413633132
23	0.6596478971717572	0.6768611590365365
24	0.6748315814620163	0.6262937752354452
25	0.6974924663287834	0.6601316410798204
26	0.6689285664605358	0.659575203669829
27	0.6296586384629863	0.648879111868467
28	0.6748315814620163	0.608113698476297
29	0.6749597865902214	0.6341064706977517
30	0.7012935697661098	0.6647122775698191
31	0.6925621257715079	0.6481222209991975
32	0.6246638605781828	0.6344603389372809
33	0.6289982259032602	0.642394028460389
34	0.6810708977013326	0.6520987794672505
35	0.6616195519456388	0.6511307495183761
36	0.6251181205014158	0.6425974325295188
37	0.6116560780001272	0.6246258819589576
38	0.5882697495740974	0.6506365725547152
39	0.661547088177523	0.6319884280029493
40	0.6692760259064606	0.6592799621234307
41	0.6574956288841282	0.6353478797083936
42	0.6665975790336404	0.616113217352251
43	0.6455309612867752	0.628619910238077
44	0.6851993395919227	0.6407745754207229
45	0.6447885085928564	0.6157082016515203
46	0.6470617617676442	0.6645304341952791
47	0.6716264532568881	0.6365671472760088
48	0.669667407755643	0.6226042674026717
49	0.6048128353267137	0.6369955128798653
