epoch	avg_f1	avg_pr_auc
0	0.22612942612942613	0.3028201907319189
1	0.38939162207763883	0.3834386445431527
2	0.5949933201211974	0.5682696323338453
3	0.6846442687747036	0.6276179019749372
4	0.6841348911105943	0.6657451561370789
5	0.6680877093920572	0.6070482692728203
6	0.6749899699842491	0.6240617285322447
7	0.6527392245435724	0.6376815882868667
8	0.6490113871635612	0.6317916212799699
9	0.6097118702553486	0.620751007878501
10	0.6676618671183888	0.6099625410152184
11	0.6667384015529796	0.6067974584669619
12	0.6556055900621118	0.5858745739994198
13	0.6600500345065563	0.5818581254455099
14	0.6488359485670699	0.6031198279718809
15	0.6376523736878428	0.5958888199027543
16	0.6453565154652111	0.5791845088764538
17	0.6488359485670699	0.6097343239603717
18	0.6347360248447205	0.5872682171049489
19	0.6433977978543196	0.5761076650258868
20	0.6683723884810842	0.5732142169488444
21	0.6600500345065563	0.5732665649323915
22	0.6441483154526633	0.5570141053245976
23	0.6114943803608399	0.5730658657152679
24	0.6315333404726209	0.5708187662838998
25	0.6346216772566098	0.570603974284327
26	0.6510592313341673	0.5710677159165911
27	0.6656055900621118	0.577619640350091
28	0.637108858035968	0.562349592214447
29	0.6577624528072098	0.5789843217826826
30	0.6275500345065562	0.5601134331180148
31	0.6512336093857833	0.5772868346171031
32	0.5984924048001062	0.5512585262164932
33	0.6510708011794969	0.5676276653028302
34	0.5751239941253863	0.5742658727368491
35	0.6444944789510008	0.560871579422495
36	0.6577108532200066	0.5697970274549491
37	0.6308229813664596	0.5659189257380545
38	0.6223269912662717	0.5726773723994222
39	0.6449706694271912	0.5578868215728112
40	0.626619016376711	0.5580083668009788
41	0.6549706694271912	0.5687015953706102
42	0.5996216772566098	0.5727996934887651
43	0.6498677159651045	0.5674503673281367
44	0.5942529330572809	0.5722081544034807
45	0.6087732919254658	0.5641096599692993
46	0.6515719766167336	0.5678957606905828
47	0.6160512908443316	0.558277476520075
48	0.6515533024804124	0.5671353536888033
49	0.6548212763366216	0.5701458390324662
