n,Sequential_time_sec,Binary_time_sec
100,0.0004027139999607243,0.012659987999995792
1000,0.004195610000010674,0.019028572000024724
5000,0.023047442999995837,0.0273544279999669
10000,0.04386710400001448,0.026760914999954366
20000,0.08581850799998847,0.027456090999976368
50000,0.212763998000014,0.02872840100008034
