시군명,의료기관명,종류,병상수,주소
목포시,미르치과병원,치과병원,0,"전라남도 목포시 백년대로 319 (상동, (상동))"
목포시,예닮치과병원,치과병원,0,전라남도 목포시 비파로 91 (상동)
여수시,그랜드치과병원,치과병원,0,전라남도 여수시 시청로 48 (학동)
여수시,의료법인 모아의료재단 모아치과병원,치과병원,0,전라남도 여수시 소호로 618 (학동)
무안군,목포스마트원치과병원,치과병원,0,"전라남도 무안군 삼향읍 남악4로 49-0, 0동 6         층 602호 (중앙프라자)"
무안군,신우치과병원,치과병원,0,전라남도 무안군 삼향읍 남악3로 50
함평군,국군함평치과병원,치과병원,0,전라남도 함평군 해보면 신해로 1027-0
순천시,순천은병원,정신병원,220,전라남도 순천시 낙안면 읍성로 302
나주시,다정한병원,정신병원,252,전라남도 나주시 산포면 매성길 61
나주시,밝은마음병원,정신병원,254,전라남도 나주시 남평읍 세남로 1566-3
나주시,의료법인세화의료재단 나주효사랑병원,정신병원,150,전라남도 나주시 금천면 영산로 5891-9 (나주효사랑병원)
나주시,국립나주병원,정신병원,195,전라남도 나주시 산포면 세남로 1328-31
담양군,의료법인경애의료재단 담양참사랑병원,정신병원,298,전라남도 담양군 대덕면 용산로 369
담양군,창평우리병원,정신병원,284,전라남도 담양군 대덕면 차동길 2-62
보성군,의료법인휴사랑의료재단 보성제일병원,정신병원,174,전라남도 보성군 보성읍 송재로 59-2
화순군,보은병원,정신병원,299,전라남도 화순군 도곡면 고인돌1로 282-14
해남군,의료법인연희의료재단해남혜민병원,정신병원,275,전라남도 해남군 옥천면 해남로 583-52
영광군,의료법인거명의료재단 영광기독신하병원,정신병원,445,전라남도 영광군 영광읍 천년로 1351-15
