external_id,name,address,latitude,longitude
SRC03_C0608142597,구립송정동데이케어센터,서울특별시 성동구 송정동 72번지 117호 송정동복합청사 3층,,
SRC03_C0608142740,e-한나데이케어센터,"서울특별시 강동구 고덕로 40, 2~3층 (암사동)",,
SRC03_C0608144559,휘경데이케어센터,"서울특별시 동대문구 답십리로 172, 3,4층 (답십리동)",,
SRC03_C0608144602,봄빛재가복지노인센터,"서울특별시 성동구 행당로 84, 201-4호 (행당동, 한진타운상가)",,
SRC03_C0608179614,더사랑데이케어센터,"서울특별시 도봉구 도봉로 601, 202, 302호 (쌍문동, 시그마팰리스)",,
SRC03_C0608180111,더사랑데이케어센터,"서울특별시 도봉구 도봉로 601, 2,3층 (쌍문동, 시그마팰리스)",,
SRC03_C0608200378,방문요양바른복지센터,"서울특별시 강동구 양재대로 1520, 701-2호 (길동)",,
SRC03_C0608206227,(+A)그린재가복지센터,"서울특별시 동대문구 서울특별시립대로4길 5, 4층 (전농동)",,
SRC03_C0608208832,브라보 데이케어 송파라운지,"서울특별시 송파구 가락로 99, 4, 5층 (석촌동)",,
SRC03_C0608328719,효다함재가노인복지센터,"서울특별시 구로구 경인로20가길 5, 601-1호 (오류동)",,
SRC03_C0608378165,휘경사랑데이케어센터,"서울특별시 동대문구 망우로 40, 5~6층 (휘경동)",,
SRC03_C0608396214,사랑드림재가노인복지센터,"서울특별시 송파구 백제고분로 469, 3, 4층 (방이동)",,
SRC03_C0608497793,(+A)충무재가복지센터,"서울특별시 동대문구 서울특별시립대로4길 5, 4층 (전농동)",,
SRC03_C0608589691,힐링데이케어센터(양천),"서울특별시 양천구 화곡로 49, 2, 3, 4층 (신월동)",,
SRC03_C0608621710,굿케어주야간보호센터,"서울특별시 광진구 뚝섬로 742, 2,4,5층 507호 (구의동)",,
SRC03_C0608686856,라파방문요양센터,"서울특별시 송파구 양재대로 1222, 344, 345호 (방이동)",,
SRC03_C0608739326,행복 장기요양센터,"서울특별시 마포구 모래내로7길 38, 502-2호 (성산동, 서원빌딩)",,
SRC03_C0608778157,(주)케어링 방문요양센터 서울 성북점,"서울특별시 성북구 보국문로 90, 2,3층 (정릉동)",,
SRC03_C0608861420,더사랑데이케어센터,"서울특별시 도봉구 도봉로 601, 2~3층 (쌍문동, 시그마팰리스)",,
SRC03_C0609257154,엔젤재활데이케어센터,"서울특별시 관악구 난향길 5, 3,4층 (신림동, 태성빌딩)",,
SRC03_C0609299989,시니엘데이케어센터,"서울특별시 서초구 사평대로18길 10, 3~5층 (반포동, 부림빌딩)",,
SRC03_C0609330712,좋은날재가복지센터,"서울특별시 영등포구 도신로4길 10, 108,109호 (대림동)",,
SRC03_C0609364041,번동데이케어센터,"서울특별시 강북구 월계로 187, 2,3층 (번동)",,
SRC03_C0609420517,대한민국의원 방문간호센터,"서울특별시 용산구 청파로47길 7, 3,4,5층 (청파동3가)",,
SRC03_C0609545281,두드림데이케어센터,"서울특별시 관악구 관악로 287, 302?3?7?8호 (봉천동, 성현동아파트 상가동)",,
SRC03_C0609577190,순시미 재가복지센터 강북본점,"서울특별시 강북구 삼양로123길 1, 302-1호 (수유동)",,
SRC03_C0609599286,올리브케어 노인복지센터,서울특별시 동대문구 장안동 431번지 4호 406호,,
SRC03_C0609704217,온마음데이케어센터,"서울특별시 동작구 여의대방로22길 132, 4,5층 (신대방동)",,
SRC03_C0609712914,경희재가복지센터,"서울특별시 강서구 수명로 78, 601-일부호 (내발산동, 새롬프라자)",,
SRC03_C0609715693,서울데이케어센터,"서울특별시 광진구 능동로37길 11, 4,5,6층 (중곡동, 세기빌딩)",,
SRC03_C0609727629,다온재가복지센터,"서울특별시 영등포구 영등포로 353, 1608B호 (신길동, 엔씨티오피스텔)",,
SRC03_C0609728143,브라보 데이케어 강남라운지,"서울특별시 강남구 도곡로 221, 2,3,4층 (역삼동)",,
SRC03_C0609729085,행복재가복지센터,"서울특별시 금천구 독산로75길 17, 301,102호 (독산동)",,
SRC03_C0609739185,가온플러스데이케어센터,"서울특별시 강동구 천호대로 1203, 6~7층 (길동)",,
SRC03_C0609744470,사군자 데이케어센터,"서울특별시 중랑구 망우로 467, 2, 3층 (망우동)",,
SRC03_C0609744532,늘좋은데이케어센터,"서울특별시 동작구 신대방길 88, 2~3층 (신대방동)",,
SRC03_C0609748436,우성방문요양센터,"서울특별시 동작구 동작대로29길 91, 2단지상가동 2층 213호 (사당동, 사당우성아파트)",,
SRC03_C0609749604,웰나우 데이케어센터,"서울특별시 동대문구 고산자로 493, 1~4층 (제기동)",,
SRC03_C0609751345,푸른데이케어센터,"서울특별시 영등포구 시흥대로181길 17, 101~104호 (대림동, 늘푸른아파트)",,
SRC03_C0609770956,(주)케어링 방문요양센터 서울 서대문점,"서울특별시 서대문구 북아현로1길 17, 101엠동 B105호 (북아현동, 이편한세상신촌)",,
SRC03_C0609776338,케어닥 어르신돌봄학교 마포직영 데이케어센터,"서울특별시 마포구 성미산로11길 5, 1,2층 (성산동)",,
SRC03_F04102,구립영등포노인복지센터 병설 데이케어센터,서울특별시 영등포구 선유서로34길 103층 (양평동3가),,
SRC03_F04410,에녹요양협동조합 주야간보호센터,서울특별시 영등포구 가마산로 3133층 (대림동),,
SRC03_F04450,서울숲단기보호센터,서울특별시 성동구 뚝섬로 401-24층 (성수동2가),,
SRC03_F04457,금호무지개노인복지센터,서울특별시 성동구 금호로13길 17201호 (금호동2가),,
SRC03_G0220,사랑과섬김요양원단기보호,서울특별시 중랑구 묵동 239번지 51호 창성빌딩 2층,,
SRC03_G0947,삼선데이케어센터,"서울특별시 성북구 동소문로 40, 4,6층 (동소문동3가)",,
SRC03_G1509,잠실데이케어센터,"서울특별시 송파구 오금로36길 39, 2,3,4층 (가락동)",,
SRC03_G2316,소풍데이케어센터,"서울특별시 동대문구 한천로 137, 2~3층 (답십리동)",,
SRC03_G2487,더행복데이케어센터,"서울특별시 광진구 뚝섬로56길 40, 3,4층 (자양동)",,
SRC03_G2641,중랑리베데이케어센터,"서울특별시 중랑구 동일로 608, 4,5층 (면목동)",,
SRC03_G2920,신효데이케어앤드 주식회사,"서울특별시 송파구 가락로 45, 2,3,4층 (석촌동)",,
SRC03_G2956,관악중앙데이케어센터,"서울특별시 관악구 봉천로 421, 2.3층 (봉천동, 샤인텔)",,
SRC03_G3011,서림노인복지센터,"서울특별시 관악구 신림로 211, 2,4층 (신림동, 미보빌딩)",,
SRC03_G3024,구로제일데이케어센터,"서울특별시 구로구 가마산로27길 14, 3,4층 (구로동)",,
SRC03_G3109,A플러스잠실데이케어센터,"서울특별시 송파구 백제고분로 235, 2, 4층 (삼전동)",,
SRC03_G3158,(사)굿하트 금천데이케어센터,서울특별시 금천구 시흥대로 비즈메드 빌딩 12 층,,
SRC03_G3170,성내데이케어센터,"서울특별시 강동구 풍성로 138, 4~6층 (성내동)",,
SRC03_G3564,우리들주야간보호센터,서울특별시 구로구 고척동 72번지 7호 문화골든타워 9층,,
SRC03_G3684,구립동안사랑데이케어센터,"서울특별시 동대문구 황물로 30, 1~2층 (답십리동)",,
SRC03_G3915,서울데이케어센터,"서울특별시 동대문구 신이문로 27, 7~8층 (이문동)",,
SRC03_G3922,응암데이케어,"서울특별시 은평구 백련산로 133, 5,6층 (응암동)",,
SRC03_G4005,벧엘데이케어센터,"서울특별시 관악구 문성로 96, 4,5층 (신림동)",,
SRC03_G4237,금천희망데이케어센터,"서울특별시 금천구 금하로 658, 2,3층 (시흥동)",,
SRC03_G4528,(A)청춘시대 재활복지센터,"서울특별시 중랑구 용마산로125가길 47, 2,3층 (신내동)",,
SRC03_G4693,더봄데이케어센터,"서울특별시 서대문구 응암로 16, 2~3층 (북가좌동)",,
SRC03_G4755,개포데이케어센터,"서울특별시 강남구 삼성로 38, 504~506호 (개포동, 개포빌딩)",,
SRC03_G4834,강서중앙데이케어센터,"서울특별시 강서구 양천로 132, 1,2층 (방화동, 한림리첸빌)",,
SRC03_G4840,구로미가데이케어센터,"서울특별시 구로구 천왕로 32, 6,7층 605,701호 (천왕동, 에이스프라자)",,
SRC03_G5959,9학년데이케어센터(재활),"서울특별시 강동구 구천면로 304, 2~3층 (천호동)",,
SRC03_G6293,강서재활전문데이케어센터,"서울특별시 강서구 방화동로 115, 3,4층 (방화동)",,
SRC03_G6476,나눔재활데이케어센터,"서울특별시 관악구 난곡로 189, 4,5층 (신림동)",,
SRC03_G6688,구로은빛노인복지센터,"서울특별시 구로구 가마산로26길 10, 201,203호 (구로동)",,
SRC03_G6734,아리아케어 방문요양 송파 잠실센터,"서울특별시 송파구 풍성로25길 19, 202호 (풍납동)",,
SRC03_G7024,A+강일데이케어센터,"서울특별시 강동구 아리수로93길 33, 6~7층 (강일동, 베스트프라자)",,
SRC03_G7096,기억튼튼재활전문데이케어센터(강북점),"서울특별시 강북구 오현로 194, 3, 4층 (번동)",,
SRC03_G8417,재활앤데이케어센터,"서울특별시 마포구 모래내로7길 62, 4~5층 (성산동)",,
SRC03_G8634,아름드리데이케어센터,"서울특별시 송파구 백제고분로 237, 4,5층 (삼전동)",,
SRC03_G8652,케어링 고은센터,"서울특별시 서초구 서초대로 396, 402-2호 (서초동, 강남빌딩)",,
SRC03_G8654,케어링 가온센터,"서울특별시 서초구 서초대로 396, 402-1호 (서초동, 강남빌딩)",,
SRC03_G8659,월곡데이케어센터,"서울특별시 성북구 오패산로10길 30, 204?301호 (하월곡동)",,
SRC03_G8786,마리아데이케어센터,"서울특별시 강남구 논현로2길 40, 2~3층 (개포동, 대경빌딩)",,
SRC03_G8836,참사랑데이케어센터,"서울특별시 송파구 마천로 89, 3,4층 312, 411호 (오금동)",,
SRC03_G9661,(주)실버웨이복지법인 강북노인복지센터,"서울특별시 강북구 도봉로 144, 3,6층 (미아동)",,
SRC03_J1827,동우요양원요양센터,"서울특별시 중랑구 망우로 422, 5,6층 (망우동)",,
SRC03_J1874,'반석'데이케어센터,"서울특별시 강동구 양재대로130길 11, 2~3층 (명일동)",,
SRC03_J2231,대은가정봉사원파견센터,"서울특별시 강북구 인수봉로60가길 32, 101 (수유동, 대성아트빌)",,
SRC03_J6647,새마음데이케어센터,105번지 6호,,
SRC03_J8138,송학데이케어센터,"서울특별시 동작구 상도동 210번지 249호 3,4,5층",,
SRC03_M0791,'행복드림복지협동조합',"서울특별시 서대문구 응암로 73, 2~3층 (북가좌동, 창안빌딩)",,
SRC03_M1408,두레데이케어,서울특별시 중랑구 신내동 537번지 3호 해성빌딩 5층,,
SRC03_P0326,케어링 다솜센터,"서울특별시 서초구 서초대로 396, 402-4호 (서초동, 강남빌딩)",,
SRC03_P0327,케어링 라온센터,"서울특별시 서초구 서초대로 396, 402-5호 (서초동, 강남빌딩)",,
SRC03_P0394,다솜재활재가노인센터,"서울특별시 영등포구 영등포로 32, 205~208호 (양평동2가)",,
SRC03_P0617,구립강감찬데이케어센터,"서울특별시 관악구 대학12길 16, 3~4층 (신림동, 대학경로당)",,
SRC03_P1601,(주)구로 휴 복지법인주간보호센터,"서울특별시 구로구 중앙로 9, 4,5층 (고척동)",,
SRC03_P1796,강북나눔돌봄센터 살핌,"서울특별시 강북구 인수봉로42길 27, 2~3층 (수유동)",,
SRC03_P1976,벧엘데이케어센터,"서울특별시 관악구 문성로 96, 4~5층 (신림동)",,
