file,point_count,gap_count,time_under_60_count,time_under_60_percent,distance_under_30_count,distance_under_30_percent,median_time_gap_sec,median_distance_gap_m
daon.gpx,6710,6709,6690,99.71679833060068,5970,88.98494559546877,1.0,24.905560966228478
yebin.gpx,6072,6071,5991,98.68225992422994,6037,99.43996046779773,1.0,1.2077200876932512
yubeen.gpx,5135,5127,5064,98.77121123464015,4846,94.51921201482348,1.0,1.2848711337926084
