userid	stay_id	checkintime	leaving_datetime	dwell_minutes	longitude	latitude	cluster	venueid	venuetype	x	y
1	1_stay_0001	2026-07-30 10:42:31.155000+09:00	2026-07-30 19:51:54+09:00	549.38075	127.0762153914772	37.62654255298573	1	1_venue_001	unknown	962604.863775927	1958649.8696692765
1	1_stay_0002	2026-07-30 20:19:51.500000+09:00	2026-07-31 12:45:45.001000+09:00	985.8916833333333	127.0762270351213	37.62646745559719	1	1_venue_001	unknown	962605.8536038558	1958641.5332894092
1	1_stay_0003	2026-07-31 13:43:44.517000+09:00	2026-07-31 15:43:38.971000+09:00	119.90756666666667	127.02713313775735	37.498514891363925	4	1_venue_004	unknown	958202.3111984074	1944466.5569092147
1	1_stay_0004	2026-07-31 16:53:07.786000+09:00	2026-08-02 15:19:03.001000+09:00	2785.92025	127.0762501934452	37.62643032232351	1	1_venue_001	unknown	962607.8785247743	1958637.4042810758
1	1_stay_0005	2026-08-02 16:32:36.500000+09:00	2026-08-02 18:27:16.999000+09:00	114.67498333333333	126.98407236946275	37.51723810569162	3	1_venue_003	unknown	954407.4432790474	1946563.7783240692
1	1_stay_0006	2026-08-02 19:34:50.001000+09:00	2026-08-03 17:53:33.502000+09:00	1338.7250166666668	127.07618782934776	37.62637871619573	1	1_venue_001	unknown	962602.3495703117	1958631.7036477937
1	1_stay_0007	2026-08-03 17:54:18.501000+09:00	2026-08-03 19:11:51+09:00	77.54164999999999	127.07557563582775	37.625917517194324	2	1_venue_002	unknown	962548.0972828239	1958580.779688104
2	2_stay_0001	2026-07-30 10:26:02+09:00	2026-07-31 00:50:14+09:00	864.2	127.0783066629935	37.62270976956968	2	2_venue_002	unknown	962787.4896646758	1958223.8073345276
2	2_stay_0002	2026-07-31 01:47:07+09:00	2026-07-31 04:12:40+09:00	145.55	127.0782806080343	37.62273367180186	2	2_venue_002	unknown	962785.2023384484	1958226.4695159232
2	2_stay_0003	2026-07-31 19:23:50+09:00	2026-07-31 20:01:39+09:00	37.81666666666667	127.0195799882324	37.60980228646182	4	2_venue_004	unknown	957597.7704254489	1956816.6818419225
2	2_stay_0004	2026-08-01 10:13:56+09:00	2026-08-01 12:50:26+09:00	156.5	126.705422817147	37.52716997664925	1	2_venue_001	unknown	929792.1333100689	1947837.1895148295
